          <idle>-0       [003] ..s2. 1295657.000521: bpf_trace_printk: port: 11211, total_metrics_size is 656 
          <idle>-0       [003] .Ns2. 1295658.102883: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.102889: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.102893: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.102897: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.102902: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.102907: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.102912: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.102916: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.102921: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.102926: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.102927: bpf_trace_printk: Elapsed cycles are 194524
          <idle>-0       [003] .Ns2. 1295658.203047: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.203055: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.203059: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.203064: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.203069: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.203074: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.203079: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.203084: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.203089: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.203095: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.203095: bpf_trace_printk: Elapsed cycles are 226850
          <idle>-0       [003] .Ns2. 1295658.303212: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.303218: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.303222: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.303227: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.303232: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.303238: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.303242: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.303247: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.303251: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.303256: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.303256: bpf_trace_printk: Elapsed cycles are 197242
          <idle>-0       [003] ..s2. 1295658.403374: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.403382: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.403386: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.403390: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.403393: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.403397: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.403400: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.403403: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.403406: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.403410: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.403410: bpf_trace_printk: Elapsed cycles are 164220
          <idle>-0       [003] .Ns2. 1295658.503526: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.503532: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.503536: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.503541: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.503546: bpf_trace_printk: port: 11215, total_metrics_size is 656 

