          <idle>-0       [000] ..s2. 1295568.309267: bpf_trace_printk: port: 11211, total_metrics_size is -22 
          <idle>-0       [001] .Ns2. 1295584.387512: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295584.387517: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295584.387521: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295584.387526: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295584.387534: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295584.387534: bpf_trace_printk: Elapsed cycles are 238758
          <idle>-0       [001] .Ns2. 1295585.387650: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295585.387657: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295585.387662: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295585.387667: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295585.387672: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295585.387677: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295585.387682: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295585.387687: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295585.387694: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295585.387700: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295585.387700: bpf_trace_printk: Elapsed cycles are 245410
          <idle>-0       [001] ..s2. 1295586.387812: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295586.387822: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295586.387826: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295586.387830: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295586.387834: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295586.387837: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295586.387841: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295586.387845: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295586.387848: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295586.387851: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295586.387852: bpf_trace_printk: Elapsed cycles are 185208
          <idle>-0       [001] .Ns2. 1295587.387969: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295587.387976: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295587.387981: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295587.387986: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295587.387991: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295587.387996: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295587.388001: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295587.388006: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295587.388011: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295587.388018: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295587.388018: bpf_trace_printk: Elapsed cycles are 243106
          <idle>-0       [001] .Ns2. 1295588.388134: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295588.388142: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295588.388147: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295588.388152: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295588.388157: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295588.388163: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295588.388168: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295588.388172: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295588.388179: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295588.388184: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295588.388184: bpf_trace_printk: Elapsed cycles are 242242
          <idle>-0       [001] .Ns2. 1295589.388301: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295589.388308: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295589.388313: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295589.388318: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295589.388323: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295589.388329: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295589.388333: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295589.388338: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295589.388343: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295589.388347: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295589.388348: bpf_trace_printk: Elapsed cycles are 227726
          <idle>-0       [001] .Ns2. 1295590.388464: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295590.388472: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295590.388477: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295590.388483: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295590.388488: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295590.388493: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295590.388498: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295590.388503: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295590.388511: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295590.388516: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295590.388516: bpf_trace_printk: Elapsed cycles are 248624
          <idle>-0       [001] .Ns2. 1295591.388633: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295591.388640: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295591.388645: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295591.388650: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295591.388655: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295591.388660: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295591.388665: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295591.388670: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295591.388675: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295591.388682: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295591.388683: bpf_trace_printk: Elapsed cycles are 241932
          <idle>-0       [001] .Ns2. 1295592.388801: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295592.388808: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295592.388813: bpf_trace_printk: port: 11213, total_metrics_size is 656 

